iter	Passed	Remaining
0	74	74019
1	74	37256
2	75	24989
3	75	18855
4	76	15178
5	76	12721
6	77	10980
7	77	9667
8	78	8644
9	79	7822
10	79	7149
11	80	6591
12	80	6117
13	81	5711
14	81	5359
15	82	5050
16	82	4777
17	83	4544
18	83	4329
19	84	4135
20	84	3959
21	85	3799
22	86	3653
23	86	3518
24	87	3394
25	87	3278
26	88	3172
27	88	3073
28	89	2983
29	89	2900
30	90	2821
31	90	2746
32	91	2676
33	91	2609
34	92	2546
35	92	2486
36	93	2430
37	93	2377
38	94	2327
39	95	2280
40	95	2236
41	96	2194
42	96	2152
43	97	2112
44	97	2074
45	98	2038
46	98	2003
47	99	1969
48	99	1937
49	100	1906
50	100	1877
51	101	1850
52	102	1823
53	102	1797
54	103	1771
55	103	1746
56	104	1722
57	104	1699
58	105	1677
59	105	1655
60	106	1634
61	106	1614
62	107	1595
63	107	1577
64	108	1560
65	109	1543
66	109	1526
67	110	1510
68	110	1494
69	111	1478
70	111	1465
71	112	1452
72	113	1437
73	113	1424
74	114	1410
75	114	1396
76	115	1383
77	115	1370
78	116	1357
79	116	1344
80	117	1331
81	117	1319
82	118	1305
83	118	1294
84	119	1282
85	119	1273
86	120	1264
87	121	1254
88	121	1244
89	122	1234
90	122	1224
91	123	1215
92	123	1206
93	124	1196
94	124	1187
95	125	1179
96	125	1170
97	126	1163
98	126	1154
99	127	1146
100	127	1138
101	128	1130
102	128	1123
103	129	1115
104	129	1108
105	130	1100
106	131	1093
107	131	1086
108	132	1079
109	132	1073
110	133	1067
111	133	1060
112	134	1054
113	134	1048
114	135	1041
115	135	1035
116	136	1028
117	136	1022
118	137	1016
119	137	1010
120	138	1004
121	138	998
122	139	993
123	139	988
124	140	982
125	140	977
126	141	971
127	141	966
128	142	961
129	142	955
130	143	950
131	143	945
132	144	940
133	144	936
134	145	932
135	145	927
136	146	922
137	147	918
138	147	914
139	148	909
140	148	905
141	148	899
142	149	895
143	149	891
144	150	886
145	150	882
146	151	879
147	152	875
148	152	872
149	153	868
150	153	864
151	154	860
152	154	857
153	155	853
154	155	849
155	156	845
156	156	841
157	157	838
158	157	835
159	158	832
160	158	827
161	159	824
162	159	820
163	160	817
164	160	814
165	161	810
166	161	807
167	162	804
168	162	800
169	163	797
170	165	802
171	166	799
172	166	796
173	167	793
